Model Size,Dropout,Phase,Epochs,Training Loss,Validation Loss,AUC,F1,Precision,Recall,Accuracy,MCC
64,0.2,Training,10,0.21642382350149297,0.25063996274539146,0.9706639597004453,0.9116803717680405,0.9446754377726742,0.880912384061144,0.9146610405636718,0.8312177097479202
64,0.2,Validation,15,0.21642382350149297,0.25063996274539146,0.9609084121603144,0.8974735077530983,0.9171586772308727,0.8786155965184773,0.8996278170149167,0.7999623343819521
64,0.2,Testing,15,0.21642382350149297,0.25063996274539146,0.9491500349357713,0.8824931802031037,0.8795092641246487,0.8854974123059229,0.882093156986774,0.7642040268298758
64,0.4,Training,13,0.21634421508230778,0.2564148053142624,0.9703134391584459,0.9112087151427253,0.9443035380319217,0.8803550814059949,0.9142151984395526,0.8303365590470826
64,0.4,Validation,18,0.21634421508230778,0.2564148053142624,0.9596618392324343,0.8946738121613124,0.9144404663545396,0.8757436333264953,0.8969023825572194,0.7945164822968421
64,0.4,Testing,18,0.21634421508230778,0.2564148053142624,0.9475460686923572,0.8792681385112228,0.8786521499448732,0.879884991374353,0.8791834387579068,0.7583676240169802
64,0.6,Training,12,0.2240049821276537,0.25826680785190137,0.9678023243580844,0.9061377829011203,0.9455333731405281,0.8698937144221965,0.9098921221288961,0.8224200023895974
64,0.6,Validation,17,0.2240049821276537,0.25826680785190137,0.9580185514472581,0.8912272226331919,0.9190746045584756,0.8650177299768484,0.8944260469478065,0.7902201203881155
64,0.6,Testing,17,0.2240049821276537,0.25826680785190137,0.9447251656927749,0.8748152254249815,0.8784470162580884,0.871213341000575,0.8753306497987349,0.7506867516605021
128,0,Training,7,0.21197683559417463,0.24771649974700824,0.9719453025098264,0.9120980142387778,0.945756249358821,0.8807531547311015,0.9151188248875443,0.8322056452723278
128,0,Validation,12,0.21197683559417463,0.24771649974700824,0.9615669240495291,0.8979788113306785,0.9215347603479119,0.8755971045922105,0.9005216422940538,0.8020404116891242
128,0,Testing,12,0.21197683559417463,0.24771649974700824,0.9523941448110046,0.8849222385147383,0.8883994807121661,0.8814721104082807,0.8853709028177114,0.7707652381524147
128,0.2,Training,13,0.2109348446076461,0.25419938193837116,0.9712401441297043,0.9117494632412823,0.943108040265144,0.8824091397635444,0.9145893873651526,0.8309014710583641
128,0.2,Validation,18,0.2109348446076461,0.25419938193837116,0.9604862657238508,0.8982372273677921,0.9161105524575677,0.8810479735076049,0.9001846262051988,0.8009561060380492
128,0.2,Testing,18,0.2109348446076461,0.25419938193837116,0.9507040918005596,0.8841857057827022,0.8800154936316616,0.8883956296722254,0.8836342725704428,0.7673033362631243
128,0.4,Training,11,0.21998198169723773,0.25602335776006885,0.9694858460624797,0.909962324748317,0.9423418045369265,0.8797340870188288,0.912953305998965,0.8277354719248583
