Model Size,Dropout,Phase,Epochs,Training Loss,Validation Loss,AUC,F1,Precision,Recall,Accuracy,MCC
32,0,Training,11,0.2204935757018053,0.26843844370033704,0.9725771206376306,0.9148705932127544,0.935404171068722,0.8952191393654712,0.916699175988217,0.8341684647324125
32,0,Validation,16,0.2204935757018053,0.26843844370033704,0.9571273945429848,0.8960910367250425,0.9038518871862143,0.8884623274624154,0.8969756469243618,0.79406640467166
32,0,Testing,16,0.2204935757018053,0.26843844370033704,0.9444765166473167,0.8824440698045292,0.8741001511971657,0.8909488211615871,0.881311098332375,0.7627639095504533
64,0,Training,8,0.20780595724489395,0.2708623987585013,0.9764260408625872,0.9218311049576997,0.9321406187681613,0.9117471438238923,0.9226861987978185,0.8455747897204975
64,0,Validation,13,0.20780595724489395,0.2708623987585013,0.95724598650033,0.9001214995681641,0.8992395437262357,0.9010051871171937,0.9000234445974856,0.8000484313992156
64,0,Testing,13,0.20780595724489395,0.2708623987585013,0.9479366522701967,0.8868217752652088,0.8687421397524435,0.9056699252443934,0.8844163312248419,0.7695281920258046
128,0,Training,8,0.20681556128919015,0.2709647635869101,0.9762427643921823,0.9218153530298655,0.9286147084723579,0.9151148441542932,0.9223836630707376,0.8448566080876326
128,0,Validation,13,0.20681556128919015,0.2709647635869101,0.9578931537169455,0.8977402286081797,0.8955411040797877,0.8999501802303431,0.8974884974943587,0.7949866300972745
128,0,Testing,13,0.20681556128919015,0.2709647635869101,0.9489569172662073,0.8865858604064345,0.8687551051946045,0.9051638872915468,0.8842093156986774,0.769094337753344
256,0,Training,8,0.21027570822698316,0.2726329479025402,0.9753099229655621,0.9213701390288133,0.9328736382553348,0.9101468890569643,0.9223279328052227,0.844906633644677
256,0,Validation,13,0.21027570822698316,0.2726329479025402,0.9562088114343038,0.89935440425127,0.8985257122798807,0.9001846262051988,0.8992614951792046,0.7985243513179852
256,0,Testing,13,0.21027570822698316,0.2726329479025402,0.946347981975589,0.884883098340175,0.8590301691464709,0.9123404255319149,0.881311098332375,0.7640949866287426
